Reference,Dataset,Zone,Date,Own/rent land,Purpose,Purpose,Size,Farmer,Focus,Focus,Focus,Conservation concern,Seen hares,When,Consider hares pests,Hare numbers (=<50),Hare numbers (>5),Aware of 2 sp in NI,Seen L. europaeus,Seen L. europaeus on own land,Most recent,Is threat of L. europaeus important,Support management of L. europaeus,Habitat management for L. t. hibernicus,Lethal culling,Shooting,Netting,Trapping,Other,Support management via petition,Landowner permission to survey,Allow cull on own land,Member of conservation org,Hunt,Game birds,Rabbits,Wildfowl,Fishing/Angling,Other,Other,Support cull with direct involvement,Allow cull on land,Support Gov't cull decision
HP39014,P,PERIPHERY,15/08/2014,N,,,,N,,,,C,Y,0,N,D,N,Y,N,,,N,,Y,,,Y,Y,,N,,,N,N,,,,,,,Y,,Y
HP39814,P,PERIPHERY,,N,,,,N,,,,N,Y,2,N,N,N,N,N,,,N,N,Y,Y,,,Y,,Y,,,N,N,,,,,,,N,,Y
HP40214,P,PERIPHERY,19/08/2014,N,,,,N,,,,C,Y,0,N,N,N,N,Y,,,Y,N,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP40714,P,PERIPHERY,15/08/2014,Y,O,,20ha,Y,B,,,H,Y,6,Y,D,D,Y,Y,Y,0,Y,Y,,N,,,,,,,,,Y,,,,,,,Y,Y,Y
HP41314,P,PERIPHERY,,Y,,,,N,,,,,Y,0,N,D,D,Y,N,N,,Y,Y,Y,N,,Y,,,N,,,N,Y,,,,,F,,N,,N
HP41914,P,PERIPHERY,19/08/2014,N,,,,N,,,,H,Y,0,N,D,D,N,N,,,Y,Y,Y,N,,,,,N,,,N,N,,,,,,,N,,N
HP42214,P,PERIPHERY,,Y,A,,100a,Y,S,,,N,Y,1,N,N,N,N,N,N,,N,N,N,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP42314,P,PERIPHERY,13/08/2014,Y,A,,95a,Y,B,,,C,Y,6,N,D,D,N,N,N,,N,Y,Y,Y,Y,,,,N,N,,N,N,,,,,,,N,N,Y
HP43514,P,PERIPHERY,16/08/2014,Y,,,14a,Y,S,,,C,Y,0,Y,D,D,N,N,N,,Y,Y,Y,Y,Y,,,,Y,Y,Y,N,Y,,Y,,,,,N,N,N
HP43714,P,PERIPHERY,,Y,A,,40a,Y,M,,,C,Y,0,Y,I,I,Y,N,N,,N,Y,Y,Y,,,,,N,N,,N,N,,,,,,,N,N,N
HP43814,P,PERIPHERY,30/08/2014,Y,A,,200a,N,,,,H,Y,0,N,N,N,Y,Y,Y,0,N,Y,Y,N,,,,,N,Y,N,Y,Y,Y,,Y,,,,N,N,N
HP44014,P,PERIPHERY,30/08/2014,Y,,,,N,,,,,Y,0,N,D,D,N,N,N,,Y,Y,N,N,,,,,N,N,N,N,N,,,,,,,N,N,N
HP44714,P,PERIPHERY,14/08/2014,Y,A,,3a,N,,,,N,Y,,N,D,D,N,N,N,,N,Y,Y,N,,,,,N,Y,N,N,N,,,,,,,N,N,N
HP44814,P,PERIPHERY,02/10/2014,Y,A,,,Y,B,A,,C,Y,0,N,D,I,N,Y,Y,0,N,N,Y,,,Y,,,N,Y,N,N,N,,,,,,,N,Y,Y
HP45714,P,PERIPHERY,13/08/2014,N,,,,N,,,,C,Y,0,N,N,N,N,N,,,N,Y,Y,N,,,,,Y,,,N,N,,,,,,,N,,Y
HP45814,P,PERIPHERY,16/08/2014,Y,A,F,100a,N,,,,C,Y,2,N,D,D,N,N,N,,,,,,,,,,N,Y,Y,N,N,,,,,,,N,N,Y
HP46014,P,PERIPHERY,16/08/2014,Y,A,,19a,N,,,,C,Y,0,N,D,N,N,N,N,,N,Y,,Y,Y,,,,Y,Y,N,N,Y,,,,,F,,Y,,Y
HP46214,P,PERIPHERY,,Y,A,,44a,N,,,,C,Y,,Y,D,D,N,N,N,,N,N,Y,Y,Y,,,,N,Y,Y,N,N,,,,,,,N,Y,Y
HP46314,P,PERIPHERY,20/08/2014,Y,A,,30a,N,,,,C,N,,N,N,N,N,N,N,,Y,Y,,,,,,,,Y,,N,,,,,,,,,,
HP46614,P,PERIPHERY,30/08/2014,N,,,,N,,,,C,Y,2,N,D,N,N,N,,,N,N,N,N,,,,,N,,,N,N,,,,,,,N,,N
HP46914,P,PERIPHERY,14/08/2014,N,,,,N,,,,C,Y,1,N,D,D,N,N,,,Y,Y,Y,N,,,Y,,Y,,,N,N,,,,,,,N,,Y
HP47214,P,PERIPHERY,12/08/2014,Y,,,177a,Y,,,,H,Y,0,N,I,I,Y,Y,N,,N,Y,Y,N,,,,,N,Y,,N,N,,,,,,,,,
HP47514,P,PERIPHERY,21/08/2014,Y,A,,100a,Y,B,D,,C,Y,0,N,N,I,Y,Y,Y,0,Y,N,Y,Y,Y,,,,Y,N,,N,,,,,,,,,,
HP48214,P,PERIPHERY,27/08/2014,Y,,,,N,,,,C,Y,2,Y,D,D,N,N,N,,,,,N,,,,,N,N,N,N,N,,,,,,,N,N,
HP49114,P,PERIPHERY,20/08/2014,N,,,,N,,,,H,Y,0,N,I,I,Y,Y,,,Y,Y,,Y,,,,,,,,,N,,,,,,,N,,Y
HP49514,P,PERIPHERY,06/10/2014,N,,,,N,,,,C,Y,2,N,N,N,N,N,,,Y,Y,Y,Y,,Y,,,Y,,,N,N,,,,,,,N,,Y
